,category,question,answer
384,general_knowledge,What was the first country to approve aid drug azt,Britain
385,general_knowledge,What are a swallowtail and a burgee,Flags
386,general_knowledge,What is a group of this animal called: Swine,Sounder drift
387,general_knowledge,"What sport was involved in the movie ""kansas city bomber""",Roller derby
388,general_knowledge,What is an ethnologue,Catalogue of languages
389,general_knowledge,Household items such as television sets and audio equipment are know as,Brown goods
390,general_knowledge,"What links Buddy Holly, Lyndon Johnston, Janice Joplin",State of Texas
391,general_knowledge,The belief that no God exists,Atheism
392,sports,What sport would you helicopter to the Bugaboos for,Skiing
393,general_knowledge,What was the first James Bond film,Dr No
394,general_knowledge,What does GDP stand for ?,Gross Domestic Product
395,general_knowledge,Who wrote Travels with a Donkey on his honeymoon,Robert Louis Stevenson
396,general_knowledge,Storm Warning the only film in which this Actress killed who,Doris Day
397,general_knowledge,What is the fear of friday the 13th known as,Paraskavedekatriaphobia
398,general_knowledge,"A 1976 hit single for Cockney Rebel was titled ""make me _____""",Smile
399,general_knowledge,What term is applied to rocks changed by heat and pressure,Metamorphic
400,general_knowledge,"Either of the contibuters to the 4-note Hindol ""Taril ha juj Girlja Shankur""",Marathe
401,general_knowledge,What U.S. state is free of houseflies,Alaska
402,sports,Who Was The First Asian Snooker Player To Be Ranked In The World's Top 10? ,James Wattana 
403,general_knowledge,"During which war did the battles of The Modder River, Majuba and Magersfontein take place",The boer war
404,food,"Natural vanilla flavoring comes from this plant, What Is It ",Orchid 
405,science_nature,Light rays consist of small packets of energy called _____,Photons
406,general_knowledge,"What sport has 'screwballs', 'bunt' and 'flies'",Baseball
407,geography,"There are 42 other year_round research stations on Antarctica. All told, about __________ people live on Antarctica in summer, 1,000 in winter.","4,000"
408,general_knowledge,Pierre Augustine Caron de Baumarchais play what Opera based on it,Barber of Seville
409,general_knowledge,Who was the first United States Secretary of State,Thomas jefferson
410,general_knowledge,What is the name given to the salted roe of a sturgeon,Caviar
411,general_knowledge,What New England state is the fitting site for the town of Teaticket,Massachusetts
412,general_knowledge,Levi Stubbs Renaldo Benson Abdul Fakir Laurence Payton Who,The Four Tops
413,celebrities,Which Pop Stars Called Themselves sharon & Phyllis ,Elton John & Rod Stewart 
414,entertainment_music,Which Successful Glam Career Was Eneded In A 1977 Car Crash,Marc Bolan
415,science_nature,What do the initials nasa of the us government agency for space flight represent ,National aeronautics and space administration 
416,general_knowledge,In sport what would a person do with a quoit,Throw it
417,general_knowledge,Who is maureen o'sullivan's daughter,Mia farrow
418,general_knowledge,What was the first music CD burned in America,Springsteen's Born in the USA
419,entertainment_music,"Which Film Featured The R Kelly Song ""I Believe I Can Fly""",Space Jam
420,general_knowledge,Which snake kills the most humans,King cobra
421,history,As what was winchester known by the Romans?,Venta Bulgarum
422,general_knowledge,What Type Of Fruit Is Known As A Warwickshire Drooper,A Plum
423,general_knowledge,Scotia What would you call the act of making a mark on a body by burning,Branding
424,general_knowledge,Which city is the location for the 1998 Commonwealth Games,Kula lumpur
425,entertainment_music,Under What Name Did Vince Clark And Alison Moyet Record?,Yazoo
426,entertainment_music,"Number of music artists who have covered ''Yesterday""","2,961"
427,general_knowledge,Who wrote The Hunchback of Notre Dame,Victor Hugo
428,general_knowledge,The bones of a _____ weigh less than it's feathers,A pigeon
429,general_knowledge,What year did the Bolsheviks overthrow the Russian government,1917
430,food,Sorbitol dulcitol and xylitol are forms of what?) ,Sugars (artificial sweeteners) 
431,general_knowledge,To what did touching the ark of the covenant lead,Death
432,sports,Baseball: The Toronto _________.,Bluejays
433,food,From what country does Sangria originate? ,Spain 
434,science_nature,What Is Herpes Zoster More Commonly Known As ,Shingles 
435,general_knowledge,What is the fear of insanity known as,Maniaphobia
436,general_knowledge,What is a curragh,Boat
437,sports,The person who carries the golfer's clubs is called a(n) ________.,Caddie
438,general_knowledge,What do the letters in SAM missiles refer to,Surface_to_air missile
439,general_knowledge,"What did Portuguese explorers christen O Rio Mar, ""The River Sea"", in the 16th century",The amazon river amazon river
440,general_knowledge,Two things grew on the little nut tree. A silver nutmeg & what else,Golden pear
441,entertainment_film,What album holds the world record for copies sold?,Thriller
442,general_knowledge,Caligari is the capital of what island,Sardinia
443,general_knowledge,Who was 'the elephant man',John merrick
444,entertainment_film,What character did Tex Avery first create upon arriving at MGM?,Screwball Squirrel
445,general_knowledge,Of what modern mammal is the Mastodon an early relative,Elephant
446,general_knowledge,A philomath has a love of what,Learning
447,science_nature,"If a robin's egg is put in vinegar for thirty days, what colour does it become?",Yellow
448,general_knowledge,In which Cathedral is Jane Austen buried,Winchester
449,general_knowledge,Who was Margret Thatcher?,Prime Minister of Great Britan
450,general_knowledge,What country consumes the most fish per capita,Japan
451,general_knowledge,Instead of what does the royal family use rose petals,Confetti
452,general_knowledge,What is the largest volcano on mars,Olympus mons
453,general_knowledge,Which red-haird slide guitar player won a grammy in 1989 for her album 'nick of time',Bonnie raitt
454,history,Who Was The First Christian Emperor Of Rome ,Constantine The Great 
455,general_knowledge,Who was the last incan king of peru,Atahualpa
456,general_knowledge,The Red Rose City has what more common name in Jordan,Petra
457,general_knowledge,In what Australian state would you find Inverell,New south wales nsw
458,general_knowledge,Destructive insect related to the grasshopper,Locust
459,general_knowledge,Who was ronald reagan's first wife,Jane wyman
460,general_knowledge,What is the name for a branch of a river?,Tributary
461,general_knowledge,"If you were to fly due West from New York, what would be the next country you would fly over",Japan
462,entertainment_music,"Name the Kiss member whose solo album featured Cher, Bob Seger, Donna Summer, Helen Reddy and Janis Ian?",Gene Simmons
463,general_knowledge,An integer that is greater than 1 & is divisible only by itself & 1 is known as a(n) _______,Prime number
464,history,Who was the last British Viceroy of India? ,Lord Louis Mountbatten 
465,general_knowledge,In a MORI pole what does MORI stand for,Market opinion research international
466,science_nature, Adult polar bears usually eat just the skin and blubber of a seal. They leave the meat for cubs and scavengers. One seal will sustain an adult bear for __________,11 days
467,general_knowledge,U.S. captials Arkansas,Little rock
468,general_knowledge,72% of what country is covered by forest,Finland
469,general_knowledge,Who wrote the book 'Jaws',Peter benchley
470,general_knowledge,What is Snoopy's mothers name,Missy
471,general_knowledge,What does an optician make,Spectacles
472,sports,"What vehicles are involved in the ""Tour de France""",Bicycles
473,general_knowledge,What did archers at the ancient Olympics use as targets,Tethered Doves
474,general_knowledge,Name the first chocolate bar created by Forest Mars in 1923,Milky Way
475,general_knowledge,What is a group of wolves,Pack
476,general_knowledge,Where Will You Find The Spirit Of Ecstasy?,On A Rolls Royce
477,general_knowledge,Collective nouns - A Congregation of what,Plovers
478,general_knowledge,What does Intel stand for,Integrated Electronics
479,general_knowledge,Who was goyathlay,Geronimo
480,general_knowledge,What countries flag red circle on green background,Singapore
481,general_knowledge,Whose debut album was Definitely Maybe,Oasis
482,entertainment_video_games,What member of the original StarFox team betrays the group to join StarWolf?                                                         ,Pigma Dengar
483,general_knowledge,Who is the Roman equivalent of the Greek god Dionysus,Bacchus
484,geography,What is the basic unit of currency for Italy ?,Lira
485,general_knowledge,Where were the first European coffee houses opened,Vienna
486,general_knowledge,What is the most popular street name in the US?,Park Street
487,general_knowledge,Diana ross sings 'everytime you touch me i become a hero'. what is the song title,When you tell me that you love me
488,science_nature,What Is The Name For 1 Followed By 100 Noughts ,A Googol 
489,general_knowledge,What is the state bird of Nevada,Mountain bluebird
490,general_knowledge,What is the original literal meaning of the word bride,To cook (ancient tutonic)
491,general_knowledge,What is the correct name for a two handed timber saw,Whipsaw
492,entertainment_music,What Kind Of Turks Did Rod Stewart Sing About,Young Turks
493,general_knowledge,Condition of persistent mental and emotional stress occuring after injury or severe shock,Post-traumatic stress disorder
494,general_knowledge,Japanese rice wine,Sake
495,general_knowledge,St Sithney is the Patron Saint of what,Mad Dogs
496,general_knowledge,What was made illegal in England in 1439,Kissing
497,general_knowledge,In which country would you find the holiday destination of Sousse,Tunisia
498,history,What Was The Most Common Present Girls Above The Age Of 16 Have Asked For in 2008 ,A Boob Job 
499,general_knowledge,More people are killed by donkeys every year than are killed in ______,Plane
500,general_knowledge,What is the most popular beverage in north america,Milk
501,general_knowledge,In Greek mythology who was the father of Iphigenia & Electra,Agamemnon
502,general_knowledge,What mountains are located on the border of Tennessee & North Carolina,Smoky mountains
